field_name,field_type,pass,avg_agreement,appears_in_jobs,most_common_outlier
ext_allowed_countries,array,1,0.0,1,none
summary.strength_details,array,3,0.0,1,none
summary.best_fit_details,array,3,0.0,1,none
summary.concern_details,array,3,0.0,1,none
summary.leverage_details,array,3,0.0,1,none
summary.probe_details,array,3,0.0,1,none
summary.overall_assessment,string,3,0.06000541599944916,1,none
tech_culture.growth_opportunities_score,inference,3,0.2,1,gpt-oss
tech_culture_assessment.dev_practices_mentioned,inference,3,0.2,1,gpt-oss
tech_culture.tech_culture_score,inference,3,0.4,1,gpt-oss
tech_culture_assessment.tech_culture_signals,inference,3,0.4,1,gpt-oss
tech_culture.work_life_balance_score,inference,3,0.4,1,gpt-oss
stakeholders_and_leadership.reporting_structure_clarity,inference,3,0.4,1,mistral
red_flags_and_role_quality.overtime_risk_score,inference,3,0.4,1,mistral
company_maturity.maturity_signals,inference,3,0.4,1,mistral
stack_and_cloud.storage_layer,inference,2,0.4,1,gpt-oss
stakeholders_and_leadership.manager_level_inferred,inference,3,0.4,1,mistral
company_context.funding_stage_signals,inference,3,0.4,1,gemma
ext_team_info_text,string,1,0.471999537075003,1,none
ext_location_restriction_text,string,1,0.5315500685871056,1,none
ext_work_auth_text,string,1,0.5417721518987342,1,none
